HGNC ID	Approved symbol	Gene group name	Mouse genome database ID
HGNC:52284	LY6L	LY6/PLAUR domain containing	
HGNC:6730	LY9	CD molecules|Immunoglobulin like domain containing	MGI:96885
HGNC:6729	LY75	Scavenger receptors|Minor histocompatibility antigens|CD molecules|C-type lectin domain containing	MGI:106662
HGNC:38828	LY75-CD302		
HGNC:16837	LY86		MGI:1321404
HGNC:26593	LY86-AS1	Antisense RNAs	
HGNC:17156	LY96		MGI:1341909
HGNC:26021	LYAR	Zinc fingers C2HC-type|Zinc fingers	MGI:107470
HGNC:50747	LYARP1		
HGNC:27014	LYG1	Lysozymes, g-type	MGI:1916791
HGNC:29615	LYG2	Lysozymes, g-type	MGI:2685622
HGNC:6734	LYL1	Basic helix-loop-helix proteins	MGI:96891
HGNC:6735	LYN	Src family tyrosine kinases|SH2 domain containing	MGI:96892
HGNC:29604	LYNX1	LY6/PLAUR domain containing	MGI:1345180
HGNC:52291	LYNX1-SLURP2		
HGNC:28431	LYPD1	LY6/PLAUR domain containing	MGI:1919835
HGNC:25215	LYPD2	LY6/PLAUR domain containing	MGI:1915561
HGNC:24880	LYPD3	LY6/PLAUR domain containing	MGI:1919684
HGNC:28659	LYPD4	LY6/PLAUR domain containing	MGI:2687054
HGNC:26397	LYPD5	LY6/PLAUR domain containing	MGI:1924192
HGNC:28751	LYPD6	LY6/PLAUR domain containing	MGI:2443848
HGNC:27018	LYPD6B	LY6/PLAUR domain containing	MGI:1919147
HGNC:44208	LYPD8	LY6/PLAUR domain containing	MGI:1917413
HGNC:53735	LYPD9P		MGI:2685370
HGNC:6737	LYPLA1	Depalmitoylases	MGI:1344588
HGNC:44005	LYPLA1P1		
HGNC:44006	LYPLA1P2		
HGNC:44007	LYPLA1P3		
HGNC:6738	LYPLA2	Depalmitoylases	MGI:1347000
HGNC:21069	LYPLA2P1		
HGNC:50445	LYPLA2P2		
HGNC:50446	LYPLA2P3		
HGNC:20440	LYPLAL1		MGI:2385115
HGNC:54054	LYPLAL1-AS1	Antisense RNAs	
HGNC:50560	LYPLAL1-DT	Divergent transcripts	
HGNC:25074	LYRM1	LYR motif containing	MGI:1921169
HGNC:25229	LYRM2	LYR motif containing	MGI:1917573
HGNC:21365	LYRM4	MicroRNA protein coding host genes|LYR motif containing|Mitochondrial iron-sulfur assembly components	MGI:2683538
HGNC:52055	LYRM4-AS1	Antisense RNAs	
HGNC:28072	LYRM7	LYR motif containing|Mitochondrial respiratory chain complex assembly factors	MGI:1922780
HGNC:27314	LYRM9	LYR motif containing	MGI:1913524
HGNC:32070	LYSMD1		MGI:1919409
HGNC:28571	LYSMD2		MGI:1917332
HGNC:26969	LYSMD3		MGI:1915906
HGNC:26571	LYSMD4		MGI:1922349
HGNC:1968	LYST	MicroRNA protein coding host genes|WD repeat domain containing|BEACH domain containing 	MGI:107448
HGNC:41320	LYST-AS1	Antisense RNAs	
HGNC:14687	LYVE1		MGI:2136348
HGNC:6740	LYZ	Lysozymes, c-type	MGI:96902, MGI:96897, MGI:1924647
HGNC:30502	LYZL1	Lysozymes, c-type	
HGNC:29613	LYZL2	Lysozymes, c-type	MGI:1914578
HGNC:28387	LYZL4	Lysozymes, c-type	MGI:1916282
HGNC:29614	LYZL6	Lysozymes, c-type	MGI:1916694
HGNC:17497	LZIC		MGI:1916401
HGNC:6741	LZTFL1		MGI:1934860
HGNC:6742	LZTR1	BTB domain containing	MGI:1914113
HGNC:13861	LZTS1	Leucine zipper tumor suppressor family	MGI:2684762
HGNC:43630	LZTS1-AS1	Antisense RNAs	
HGNC:29381	LZTS2	Leucine zipper tumor suppressor family	MGI:2385095
HGNC:30139	LZTS3	Leucine zipper tumor suppressor family	MGI:2656976
HGNC:25183	M1AP		MGI:1315200
HGNC:6752	M6PR	MRH domain containing 	MGI:96904
HGNC:6757	MAB21L1	MAB21 family	MGI:1333773
HGNC:6758	MAB21L2	MAB21 family	MGI:1346022
HGNC:26787	MAB21L3	MAB21 family	MGI:2446273
HGNC:26216	MAB21L4	MAB21 family	MGI:1919124
HGNC:30215	MACC1		MGI:2685113
HGNC:41257	MACC1-AS1	Antisense RNAs	
HGNC:13664	MACF1	Plakins|EF-hand domain containing	MGI:108559
HGNC:25052	MACIR		MGI:1277184
HGNC:25572	MACO1		MGI:1913396
HGNC:53963	MACORIS	Long non-coding RNAs with non-systematic symbols	
HGNC:29598	MACROD1	Macro domain containing	MGI:2147583
HGNC:16126	MACROD2	Macro domain containing	MGI:1920149
HGNC:37193	MACROD2-AS1	Antisense RNAs	
HGNC:16201	MACROD2-IT1	Intronic transcripts	
HGNC:4740	MACROH2A1	H2A histones|Macro domain containing	MGI:1349392
HGNC:14453	MACROH2A2	Macro domain containing|H2A histones	MGI:3037658
HGNC:6762	MAD1L1	MicroRNA protein coding host genes	MGI:1341857
HGNC:6763	MAD2L1		MGI:1860374
HGNC:21059	MAD2L1BP		MGI:1913841
HGNC:20019	MAD2L1P1		
HGNC:6764	MAD2L2	FA complementation groups|DNA polymerases	MGI:1919140
HGNC:6765	MADCAM1	Immunoglobulin like domain containing|Ig-like cell adhesion molecule family	MGI:103579
HGNC:6766	MADD	DENN domain containing	MGI:2444672
HGNC:40354	MADD-AS1	Antisense RNAs	
HGNC:13731	MAEA	CTLH complex	MGI:1891748
HGNC:25929	MAEL		MGI:2138453
HGNC:6776	MAF	Basic leucine zipper proteins	MGI:96909
HGNC:24966	MAF1		MGI:1916127
HGNC:23145	MAFA	Basic leucine zipper proteins	MGI:2673307
HGNC:51203	MAFA-AS1	Antisense RNAs	
HGNC:6408	MAFB	Basic leucine zipper proteins	MGI:104555
HGNC:6780	MAFF	Basic leucine zipper proteins	MGI:96910
HGNC:6781	MAFG	Basic leucine zipper proteins	MGI:96911
HGNC:43649	MAFG-DT	Divergent transcripts	
HGNC:31102	MAFIP		
HGNC:6782	MAFK	Basic leucine zipper proteins	MGI:99951
HGNC:51525	MAFTRR	Long non-coding RNAs with non-systematic symbols	
HGNC:6783	MAG	I-set domain containing|Sialic acid binding Ig like lectins|C2-set domain containing	MGI:96912
HGNC:6796	MAGEA1	MAGE family	
HGNC:6800	MAGEA2	MAGE family	
HGNC:19340	MAGEA2B	MAGE family	
HGNC:6801	MAGEA3	MAGE family	
HGNC:6802	MAGEA4	MAGE family	
HGNC:53860	MAGEA4-AS1	Antisense RNAs	
HGNC:6803	MAGEA5	MAGE family	
HGNC:6804	MAGEA6	MAGE family	
HGNC:6805	MAGEA7P	MAGE family	
HGNC:6806	MAGEA8	MAGE family	
HGNC:45093	MAGEA8-AS1	Antisense RNAs	
HGNC:6807	MAGEA9	MAGE family	
HGNC:31909	MAGEA9B	MAGE family	
HGNC:6797	MAGEA10	MAGE family	
HGNC:6798	MAGEA11	MAGE family	
HGNC:6799	MAGEA12	MAGE family	
HGNC:35154	MAGEA13P	MAGE family	
HGNC:6808	MAGEB1	MAGE family	
HGNC:6809	MAGEB2	MAGE family	
HGNC:6810	MAGEB3	MAGE family	
HGNC:6811	MAGEB4	MAGE family	
HGNC:23795	MAGEB5	MAGE family	MGI:2148169, MGI:3712084
HGNC:23796	MAGEB6	MAGE family	
HGNC:28824	MAGEB6B		
HGNC:25377	MAGEB10	MAGE family	
HGNC:21188	MAGEB16	MAGE family	MGI:1919217
HGNC:17418	MAGEB17	MAGE family	
HGNC:28515	MAGEB18	MAGE family	MGI:3045344
HGNC:6812	MAGEC1	MAGE family	
HGNC:13574	MAGEC2	MAGE family	
HGNC:23798	MAGEC3	MAGE family	
HGNC:6813	MAGED1	MAGE family	MGI:1930187
HGNC:16353	MAGED2	Small nucleolar RNA protein coding host genes|MAGE family	MGI:1933391
HGNC:23793	MAGED4	Small nucleolar RNA protein coding host genes|MAGE family	
HGNC:22880	MAGED4B	MAGE family|Small nucleolar RNA protein coding host genes	
HGNC:24934	MAGEE1	MAGE family	MGI:2148149
HGNC:24935	MAGEE2	MAGE family	MGI:2148316
HGNC:29639	MAGEF1	MAGE family	
HGNC:24092	MAGEH1	MAGE family	MGI:1922875
HGNC:6814	MAGEL2	MAGE family	MGI:1351648
HGNC:946	MAGI1	Trinucleotide repeat containing|PDZ domain containing|Membrane associated guanylate kinases	MGI:1203522
HGNC:40091	MAGI1-AS1	Antisense RNAs	
HGNC:42436	MAGI1-IT1	Intronic transcripts	
HGNC:18957	MAGI2	PDZ domain containing|Membrane associated guanylate kinases	MGI:1354953
HGNC:40860	MAGI2-AS1	Antisense RNAs	
HGNC:40861	MAGI2-AS2	Antisense RNAs	
HGNC:40862	MAGI2-AS3	Antisense RNAs	
HGNC:29647	MAGI3	PDZ domain containing|Membrane associated guanylate kinases	MGI:1923484
HGNC:30006	MAGIX	PDZ domain containing	MGI:1859644
HGNC:6815	MAGOH	Exon junction complex|Spliceosomal P complex	MGI:1330312
HGNC:30148	MAGOH2P		
HGNC:20020	MAGOH3P		
HGNC:25504	MAGOHB	Exon junction complex	MGI:1913691
HGNC:28880	MAGT1	Solute carriers|Oligosaccharyltransferase complex subunits	MGI:1914325
HGNC:26198	MAIP1		MGI:1915365
HGNC:27441	MAJIN		MGI:1923913
HGNC:6816	MAK		MGI:96913
HGNC:13703	MAK16	RNA binding motif containing	MGI:1915170
HGNC:6817	MAL	MARVEL domain containing	MGI:892970
HGNC:13634	MAL2	MARVEL domain containing	MGI:2146021
HGNC:53626	MAL2-AS1	Antisense RNAs	
HGNC:29665	MALAT1	Long non-coding RNAs with non-systematic symbols	MGI:1919539
HGNC:49009	MALINC1		
HGNC:6818	MALL	MARVEL domain containing|MicroRNA protein coding host genes	MGI:2385152
HGNC:24331	MALRD1		MGI:1928271
HGNC:21721	MALSU1		MGI:1922843
HGNC:6819	MALT1	Immunoglobulin like domain containing|CBM complex	MGI:2445027
HGNC:23673	MAMDC2		MGI:1918988
HGNC:48719	MAMDC2-AS1	Antisense RNAs	
HGNC:24083	MAMDC4		MGI:2685841
HGNC:13632	MAML1		MGI:1890504
HGNC:16259	MAML2		MGI:2389460
HGNC:16272	MAML3	Trinucleotide repeat containing	MGI:2389461
HGNC:2568	MAMLD1		MGI:3045303
HGNC:26689	MAMSTR	Myocardin family	MGI:1921740
HGNC:6821	MAN1A1	Mannosidases alpha class 1	MGI:104677
HGNC:6822	MAN1A2	Mannosidases alpha class 1	MGI:104676
HGNC:50488	MAN1A2P1		
HGNC:6823	MAN1B1	Mannosidases alpha class 1	MGI:2684954
HGNC:48715	MAN1B1-DT	Divergent transcripts	
HGNC:19080	MAN1C1	Mannosidases alpha class 1	MGI:2446214
HGNC:6824	MAN2A1	Mannosidases alpha class 2	MGI:104669
HGNC:54821	MAN2A1-DT		
HGNC:6825	MAN2A2	Mannosidases alpha class 2	MGI:2150656
HGNC:6826	MAN2B1	Mannosidases alpha class 2	MGI:107286
HGNC:29623	MAN2B2	Mannosidases alpha class 2	MGI:1195262
HGNC:6827	MAN2C1	Mannosidases alpha class 2	MGI:1920994
HGNC:6831	MANBA	Mannosidases type beta	MGI:88175
HGNC:15799	MANBAL	Mannosidases type beta	MGI:1916411
HGNC:44678	MANCR	Long non-coding RNAs with non-systematic symbols	
HGNC:21072	MANEA	Mannosidases endo-alpha	MGI:2444484
HGNC:43732	MANEA-DT	Divergent transcripts	
HGNC:26452	MANEAL	Mannosidases endo-alpha	MGI:2684896
HGNC:54641	MANEALP1		
HGNC:15461	MANF		MGI:1922090
HGNC:25505	MANSC1		MGI:1914979
HGNC:40023	MANSC4		MGI:3645619
HGNC:6833	MAOA		MGI:96915
HGNC:6834	MAOB		MGI:96916
HGNC:6835	MAP1A		MGI:1306776
HGNC:6836	MAP1B	Protein phosphatase 1 regulatory subunits	MGI:1306778
HGNC:6838	MAP1LC3A	Autophagy related	MGI:1915661
HGNC:13352	MAP1LC3B	Autophagy related	MGI:1914693
HGNC:34390	MAP1LC3B2	Autophagy related	
HGNC:49783	MAP1LC3BP1		
HGNC:13353	MAP1LC3C	Autophagy related	
HGNC:31004	MAP1LC3P		
HGNC:15715	MAP1S		MGI:2443304
HGNC:6839	MAP2	A-kinase anchoring proteins	MGI:97175
HGNC:6840	MAP2K1	Mitogen-activated protein kinase kinases	MGI:1346866
HGNC:6841	MAP2K1P1		
HGNC:6842	MAP2K2	Mitogen-activated protein kinase kinases	MGI:1346867
HGNC:6843	MAP2K3	Mitogen-activated protein kinase kinases	MGI:1346868
HGNC:6844	MAP2K4	Mitogen-activated protein kinase kinases|MicroRNA protein coding host genes	MGI:1346869
HGNC:43837	MAP2K4P1		
HGNC:6845	MAP2K5	Mitogen-activated protein kinase kinases	MGI:1346345
HGNC:6846	MAP2K6	Mitogen-activated protein kinase kinases	MGI:1346870
HGNC:6847	MAP2K7	Mitogen-activated protein kinase kinases	MGI:1346871
HGNC:6848	MAP3K1	Zinc fingers SWIM-type|Mitogen-activated protein kinase kinase kinases|Ring finger proteins	MGI:1346872
HGNC:6854	MAP3K2	Mitogen-activated protein kinase kinase kinases	MGI:1346873
HGNC:54088	MAP3K2-DT	Divergent transcripts	
HGNC:6855	MAP3K3	Mitogen-activated protein kinase kinase kinases	MGI:1346874
HGNC:6856	MAP3K4	Mitogen-activated protein kinase kinase kinases	MGI:1346875
HGNC:6857	MAP3K5	Mitogen-activated protein kinase kinase kinases	MGI:1346876
HGNC:40358	MAP3K5-AS1	Antisense RNAs	
HGNC:6858	MAP3K6	Mitogen-activated protein kinase kinase kinases	MGI:1855691
HGNC:6859	MAP3K7	Mitogen-activated protein kinase kinase kinases	MGI:1346877
HGNC:16457	MAP3K7CL		MGI:2446584
HGNC:6860	MAP3K8	Mitogen-activated protein kinase kinase kinases	MGI:1346878
HGNC:6861	MAP3K9	Mitogen-activated protein kinase kinase kinases	MGI:2449952
HGNC:6849	MAP3K10	Mitogen-activated protein kinase kinase kinases	MGI:1346879
HGNC:6850	MAP3K11	Mitogen-activated protein kinase kinase kinases	MGI:1346880
HGNC:6851	MAP3K12	Mitogen-activated protein kinase kinase kinases	MGI:1346881
HGNC:6852	MAP3K13	Mitogen-activated protein kinase kinase kinases	MGI:2444243
HGNC:6853	MAP3K14	Mitogen-activated protein kinase kinase kinases	MGI:1858204
HGNC:44359	MAP3K14-AS1	Antisense RNAs	
HGNC:31689	MAP3K15	Mitogen-activated protein kinase kinase kinases	MGI:2448588
HGNC:26249	MAP3K19	Mitogen-activated protein kinase kinase kinases	MGI:1203481
HGNC:17797	MAP3K20	Mitogen-activated protein kinase kinase kinases	MGI:2443258
HGNC:27935	MAP3K20-AS1	Antisense RNAs	
HGNC:29798	MAP3K21	Mitogen-activated protein kinase kinase kinases	MGI:2385307
HGNC:6862	MAP4		MGI:97178
HGNC:6863	MAP4K1	Mitogen-activated protein kinase kinase kinase kinases	MGI:1346882
HGNC:6864	MAP4K2	Mitogen-activated protein kinase kinase kinase kinases	MGI:1346883
HGNC:6865	MAP4K3	Mitogen-activated protein kinase kinase kinase kinases	MGI:2154405
HGNC:54056	MAP4K3-DT	Divergent transcripts	
HGNC:6866	MAP4K4	Mitogen-activated protein kinase kinase kinase kinases	MGI:1349394
HGNC:6867	MAP4K5	Mitogen-activated protein kinase kinase kinase kinases	MGI:1925503
HGNC:6868	MAP6		MGI:1201690
HGNC:25753	MAP6D1		MGI:3607784
HGNC:6869	MAP7		MGI:1328328
HGNC:25514	MAP7D1		MGI:2384297
HGNC:25899	MAP7D2	MicroRNA protein coding host genes	MGI:1917474
HGNC:25742	MAP7D3		MGI:2445051
HGNC:26118	MAP9		MGI:2442208
HGNC:29265	MAP10		MGI:1921643
HGNC:25604	MAP11	MicroRNA protein coding host genes	MGI:2385896
HGNC:6871	MAPK1	Mitogen-activated protein kinases	MGI:1346858
HGNC:19840	MAPK1IP1L		MGI:2444022
HGNC:6877	MAPK3	Mitogen-activated protein kinases	MGI:1346859
HGNC:6878	MAPK4	Mitogen-activated protein kinases	MGI:2444559
HGNC:6879	MAPK6	Mitogen-activated protein kinases	MGI:1354946
HGNC:53900	MAPK6-DT	Divergent transcripts	
HGNC:18980	MAPK6P1		
HGNC:16756	MAPK6P2		
HGNC:18977	MAPK6P3		
HGNC:18456	MAPK6P4		
HGNC:18979	MAPK6P5		
HGNC:18978	MAPK6P6		
HGNC:6880	MAPK7	Mitogen-activated protein kinases|Armadillo like helical domain containing	MGI:1346347
HGNC:6881	MAPK8	Mitogen-activated protein kinases	MGI:1346861
HGNC:6882	MAPK8IP1		MGI:1309464
HGNC:6885	MAPK8IP1P1		
HGNC:52402	MAPK8IP1P2		
HGNC:6883	MAPK8IP2		MGI:1926555
HGNC:6884	MAPK8IP3	MicroRNA protein coding host genes	MGI:1353598
HGNC:6886	MAPK9	Mitogen-activated protein kinases	MGI:1346862
HGNC:6872	MAPK10	Mitogen-activated protein kinases|MicroRNA protein coding host genes	MGI:1346863
HGNC:40359	MAPK10-AS1	Antisense RNAs	
HGNC:6873	MAPK11	Mitogen-activated protein kinases	MGI:1338024
HGNC:6874	MAPK12	Mitogen-activated protein kinases	MGI:1353438
HGNC:6875	MAPK13	Mitogen-activated protein kinases	MGI:1346864
HGNC:6876	MAPK14	Mitogen-activated protein kinases	MGI:1346865
HGNC:24667	MAPK15	Mitogen-activated protein kinases	MGI:2652894
HGNC:18752	MAPKAP1	MTOR complex 2	MGI:2444554
HGNC:6887	MAPKAPK2	MAPK activated protein kinases	MGI:109298
HGNC:6888	MAPKAPK3	MAPK activated protein kinases	MGI:2143163
HGNC:6889	MAPKAPK5	MAPK activated protein kinases	MGI:1333110
HGNC:24091	MAPKAPK5-AS1	Antisense RNAs	
HGNC:45246	MAPKAPK5P1		
HGNC:29536	MAPKBP1	WD repeat domain containing	MGI:1347004
HGNC:6890	MAPRE1	Microtubule associated protein RP/EB family 	MGI:891995
HGNC:29624	MAPRE1P1		
HGNC:37761	MAPRE1P2		
HGNC:37762	MAPRE1P3		
HGNC:6891	MAPRE2	Microtubule associated protein RP/EB family 	MGI:106271
HGNC:6892	MAPRE3	Microtubule associated protein RP/EB family 	MGI:2140967
HGNC:40362	MAPRE3-AS1	Antisense RNAs	
HGNC:6893	MAPT	Protein phosphatase 1 regulatory subunits	MGI:97180
HGNC:43738	MAPT-AS1	Antisense RNAs	
HGNC:43741	MAPT-IT1	Intronic transcripts	
HGNC:26077	MARCHF1	Membrane associated ring-CH-type fingers|Ring finger proteins	MGI:1920175
HGNC:28038	MARCHF2	Ring finger proteins|Membrane associated ring-CH-type fingers	MGI:1925915
HGNC:28728	MARCHF3	Membrane associated ring-CH-type fingers|Ring finger proteins	MGI:2443667
HGNC:29269	MARCHF4	Membrane associated ring-CH-type fingers|Ring finger proteins	MGI:2683550
HGNC:26025	MARCHF5	Membrane associated ring-CH-type fingers|Ring finger proteins	MGI:1915207
HGNC:30550	MARCHF6	Membrane associated ring-CH-type fingers|Ring finger proteins	MGI:2442773
HGNC:17393	MARCHF7	Ring finger proteins|Membrane associated ring-CH-type fingers	MGI:1931053
HGNC:23356	MARCHF8	Ring finger proteins|Membrane associated ring-CH-type fingers	MGI:1919029
HGNC:25139	MARCHF9	Ring finger proteins|Membrane associated ring-CH-type fingers	MGI:2446144
HGNC:26655	MARCHF10	Membrane associated ring-CH-type fingers|Ring finger proteins	MGI:2443469
HGNC:52815	MARCHF10-DT	Divergent transcripts	
HGNC:33609	MARCHF11	Membrane associated ring-CH-type fingers|Ring finger proteins	MGI:3608327
HGNC:41287	MARCHF11-AS1	Antisense RNAs	
HGNC:6759	MARCKS		MGI:96907
HGNC:7142	MARCKSL1		MGI:97143
HGNC:45239	MARCKSL1P1		
HGNC:45240	MARCKSL1P2		
HGNC:6760	MARCKSP1		
HGNC:6895	MARCO	Scavenger receptor cysteine rich domain containing|Scavenger receptors	MGI:1309998
HGNC:53644	MARCOL		
HGNC:29562	MARF1	MicroRNA protein coding host genes|Protein phosphatase 1 regulatory subunits	MGI:2444505
HGNC:6896	MARK1		MGI:2664902
HGNC:3332	MARK2		MGI:99638
HGNC:39792	MARK2P1		
HGNC:39793	MARK2P2		
HGNC:39794	MARK2P3		
HGNC:39795	MARK2P4		
HGNC:39796	MARK2P5		
HGNC:39797	MARK2P6		
HGNC:39798	MARK2P7		
HGNC:39799	MARK2P8		
HGNC:39800	MARK2P9		
HGNC:39801	MARK2P10		
HGNC:39802	MARK2P11		
HGNC:39803	MARK2P12		
HGNC:39804	MARK2P13		
HGNC:44495	MARK2P14		
HGNC:45119	MARK2P15		
HGNC:45171	MARK2P16		
HGNC:50318	MARK2P17		
HGNC:6897	MARK3		MGI:1341865
HGNC:50312	MARK3P1		
HGNC:50313	MARK3P2		
HGNC:50314	MARK3P3		
HGNC:13538	MARK4		MGI:1920955
HGNC:6898	MARS1	MicroRNA protein coding host genes|Aminoacyl tRNA synthetases, Class I	MGI:1345633
HGNC:25133	MARS2	Aminoacyl tRNA synthetases, Class I	MGI:2444136
HGNC:28674	MARVELD1	MARVEL domain containing	MGI:2147570
HGNC:26401	MARVELD2	MARVEL domain containing	MGI:2446166
HGNC:30525	MARVELD3	MARVEL domain containing	MGI:1920858
HGNC:6899	MAS1	G protein-coupled receptors, Class A orphans	MGI:96918
HGNC:13961	MAS1L	G protein-coupled receptors, Class A orphans	
HGNC:33448	MAS1LP1		
HGNC:6901	MASP1	Serine proteases|Sushi domain containing|Complement system activation components	MGI:88492
HGNC:6902	MASP2	Complement system activation components|Sushi domain containing	MGI:1330832
HGNC:19034	MAST1	PDZ domain containing|MicroRNA protein coding host genes|AGC family kinases	MGI:1861901
HGNC:19035	MAST2	AGC family kinases|PDZ domain containing	MGI:894676
HGNC:19036	MAST3	PDZ domain containing|AGC family kinases	MGI:2683541
HGNC:19037	MAST4	AGC family kinases|PDZ domain containing	MGI:1918885
HGNC:40865	MAST4-AS1	Antisense RNAs	
HGNC:41448	MAST4-IT1	Intronic transcripts	
HGNC:19042	MASTL	AGC family kinases	MGI:1914371
HGNC:6903	MAT1A		MGI:88017
HGNC:6904	MAT2A		MGI:2443731
HGNC:6905	MAT2B	Short chain dehydrogenase/reductase superfamily	MGI:1913667
HGNC:6906	MATK	SH2 domain containing|Csk family tyrosine kinases	MGI:99259
HGNC:6907	MATN1	Matrilins	MGI:106591
HGNC:40364	MATN1-AS1	Antisense RNAs	
HGNC:6908	MATN2	Matrilins	MGI:109613
HGNC:6909	MATN3	Matrilins	MGI:1328350
HGNC:6910	MATN4	Matrilins	MGI:1328314
HGNC:6912	MATR3	Small nucleolar RNA protein coding host genes	MGI:1298379
HGNC:29140	MAU2		MGI:1921799
HGNC:29233	MAVS	Caspase recruitment domain containing	MGI:2444773
HGNC:6913	MAX	Basic helix-loop-helix proteins	MGI:96921
HGNC:6914	MAZ	Zinc fingers C2H2-type	MGI:1338823
HGNC:6915	MB		MGI:96922
HGNC:30438	MB21D2		MGI:1917028
HGNC:6916	MBD1	Methyl-CpG binding domain containing|Zinc fingers CXXC-type	MGI:1333811
HGNC:6917	MBD2	Methyl-CpG binding domain containing|NuRD complex|Small nucleolar RNA protein coding host genes	MGI:1333813
HGNC:6918	MBD3	Methyl-CpG binding domain containing|NuRD complex	MGI:1333812
HGNC:15774	MBD3L1		MGI:1920753
HGNC:18532	MBD3L2		MGI:2158460
HGNC:53435	MBD3L2B		
HGNC:37205	MBD3L3		
HGNC:37206	MBD3L4		
HGNC:37204	MBD3L5		
HGNC:6919	MBD4	Methyl-CpG binding domain containing|DNA glycosylases	MGI:1333850
HGNC:20444	MBD5	PWWP domain containing|Methyl-CpG binding domain containing	MGI:2138934
HGNC:20445	MBD6	Methyl-CpG binding domain containing	MGI:106378
HGNC:20427	MBIP	ATAC complex	MGI:1918320
HGNC:6921	MBL1P	C-type lectin domain containing|Collectins	MGI:96923
HGNC:6922	MBL2	Collectins|Complement system activation components	MGI:96924
HGNC:2221	MBL3P	Collectins	
HGNC:22180	MBLAC1		MGI:2679717
HGNC:33711	MBLAC2		MGI:1920102
HGNC:6923	MBNL1	Zinc fingers CCCH-type	MGI:1928482
HGNC:44584	MBNL1-AS1	Antisense RNAs	
HGNC:16746	MBNL2	Zinc fingers CCCH-type	MGI:2145597
HGNC:20564	MBNL3	Zinc fingers CCCH-type	MGI:2444912
HGNC:21579	MBOAT1	Membrane bound O-acyltransferases	MGI:2387184
HGNC:25193	MBOAT2	Membrane bound O-acyltransferases	MGI:1914466
HGNC:32311	MBOAT4	Membrane bound O-acyltransferases	MGI:2685017
HGNC:15505	MBOAT7	Membrane bound O-acyltransferases	MGI:1924832
HGNC:6925	MBP		MGI:96925
HGNC:19866	MBTD1	MBT domain containing	MGI:2143977
HGNC:15456	MBTPS1	Proprotein convertase subtilisin/kexin family	MGI:1927235
HGNC:15455	MBTPS2		MGI:2444506
HGNC:6929	MC1R	Melanocortin receptors	MGI:99456
HGNC:6930	MC2R	Melanocortin receptors	MGI:96928
HGNC:6931	MC3R	Melanocortin receptors	MGI:96929
HGNC:6932	MC4R	Melanocortin receptors	MGI:99457
HGNC:6933	MC5R	Melanocortin receptors	MGI:99420
HGNC:6934	MCAM	V-set domain containing|CD molecules|MicroRNA protein coding host genes|C2-set domain containing|Ig-like cell adhesion molecule family	MGI:1933966
HGNC:29622	MCAT		MGI:2388651
HGNC:6935	MCC	EF-hand domain containing	MGI:96930
HGNC:6936	MCCC1		MGI:1919289
HGNC:40366	MCCC1-AS1	Antisense RNAs	
HGNC:6937	MCCC2		MGI:1925288
HGNC:20668	MCCD1		
HGNC:33449	MCCD1P1		
HGNC:33462	MCCD1P2		
HGNC:16732	MCEE		MGI:1920974
HGNC:27291	MCEMP1		MGI:1916439
HGNC:6940	MCF2	Dbl family Rho GEFs	MGI:96932
HGNC:14576	MCF2L	Pleckstrin homology domain containing|Dbl family Rho GEFs	MGI:103263
HGNC:39825	MCF2L-AS1	Antisense RNAs	
HGNC:30319	MCF2L2	Dbl family Rho GEFs	
HGNC:18451	MCFD2	EF-hand domain containing	MGI:2183439
HGNC:21582	MCFD2P1		
HGNC:4479	MCHR1	Melanin concentrating hormone receptors	MGI:2180756
HGNC:20867	MCHR2	Melanin concentrating hormone receptors	
HGNC:48980	MCHR2-AS1	Antisense RNAs	
HGNC:40050	MCIDAS		MGI:3648807
HGNC:6943	MCL1	BCL2 family	MGI:101769
HGNC:6944	MCM2	MCM family|minichromosome maintenance 2-7 complex	MGI:105380
HGNC:6945	MCM3	minichromosome maintenance 2-7 complex|MCM family	MGI:101845
HGNC:6946	MCM3AP	Lysine acetyltransferases|Transcription and export complex 2	MGI:1930089
HGNC:16417	MCM3AP-AS1	Antisense RNAs	
HGNC:6947	MCM4	MCM family|minichromosome maintenance 2-7 complex	MGI:103199
HGNC:6948	MCM5	minichromosome maintenance 2-7 complex|MCM family	MGI:103197
HGNC:6949	MCM6	MCM family|minichromosome maintenance 2-7 complex	MGI:1298227
HGNC:6950	MCM7	minichromosome maintenance 2-7 complex|MCM family|Protein phosphatase 1 regulatory subunits|MicroRNA protein coding host genes	MGI:1298398
HGNC:16147	MCM8	MCM family	MGI:1913884
HGNC:51230	MCM8-AS1	Antisense RNAs	
HGNC:21484	MCM9	MCM family	MGI:1918817
HGNC:18043	MCM10		MGI:1917274
HGNC:25782	MCMBP		MGI:1920977
HGNC:26368	MCMDC2	MCM family	MGI:3045334
HGNC:13356	MCOLN1	Transient receptor potential cation channels	MGI:1890498
HGNC:13357	MCOLN2	Transient receptor potential cation channels	MGI:1915529
HGNC:13358	MCOLN3	Transient receptor potential cation channels	MGI:1890500
HGNC:6954	MCPH1		MGI:2443308
HGNC:51655	MCPH1-AS1	Antisense RNAs	
HGNC:28007	MCRIP1		MGI:2384752
HGNC:14142	MCRIP2		MGI:1915491
HGNC:49629	MCRIP2P1		
HGNC:49631	MCRIP2P2		
